Biomarker	Function	Somatic_or_Germline_alteration	Alteration	Biomarker_basket
CDK12	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
BRCA1	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CDK12	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
NTRK1	Gain-of-function	Somatic	Gain	TK
TMB	Composite biomarker	Somatic	Positive	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
SBS3	Composite biomarker	Germline	Mutational signature	DDR
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Gain	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FGF1	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
LAG3	Gain-of-function	Somatic	Overexpression	IE
NRAS	Gain-of-function	Somatic	SNV/indel	RME
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	SNV/indel	TK
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
ATM	Loss-of-function	Somatic	SNV/indel	DDR
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
FOXL2	Gain-of-function	Somatic	SNV/indel	DEV
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
FANCA	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
NRAS	Gain-of-function	Somatic	SNV/indel	RME
ERBB2	Gain-of-function	Somatic	Gain	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
TSC1	Loss-of-function	Somatic	Deletion	PAM
CLDN18	Gain-of-function	Somatic	Overexpression	IE
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
PALB2	Loss-of-function	Germline	SNV/indel	DDR
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGF2	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
NRG4	Gain-of-function	Somatic	Overexpression	TK
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
HRD	Composite biomarker	NA	Positive	DDR
PARP2	Gain-of-function	Somatic	Overexpression	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
TMB	Composite biomarker	NA	Positive	IE
EPHA5	Gain-of-function	Somatic	Overexpression	TK
EPHA5	Gain-of-function	Somatic	Gain	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
RAF1	Gain-of-function	Somatic	Overexpression	RME
TFE3	Gain-of-function	Somatic	Overexpression	OTH
TFE3	Gain-of-function	Somatic	Gain	OTH
VEGFA	Gain-of-function	Somatic	Overexpression	TK
VEGFA	Gain-of-function	Somatic	Gain	TK
NRAS	Gain-of-function	Somatic	SNV/indel	RME
IDH2	Gain-of-function	Somatic	SNV/indel	OTH
IDH2	Gain-of-function	Somatic	Gain	OTH
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
IDH2	Gain-of-function	Somatic	SNV/indel	OTH
IDH2	Gain-of-function	Somatic	Gain	OTH
ROS1	Gain-of-function	Somatic	Overexpression	TK
TEK	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA1	Loss-of-function	Somatic	Deletion	DDR
ERBB2	Gain-of-function	Somatic	Gain	TK
ERBB2	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
CLIP1	Gain-of-function	Somatic	Fusion	NA
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Fusion	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
MSH2	Loss-of-function	Somatic	SNV/indel	DDR
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
NA	NA	NA	NA	NA
IL6	Gain-of-function	Somatic	Overexpression	TK
JAK2	Gain-of-function	Somatic	Overexpression	TK
JAK3	Gain-of-function	Somatic	Overexpression	TK
OSM	Gain-of-function	Somatic	Overexpression	OTH
OSMR	Gain-of-function	Somatic	Overexpression	TK
EGFR	Gain-of-function	Somatic	Overexpression	TK
FGF2	Gain-of-function	Somatic	Overexpression	TK
FLT1	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
ROS1	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
PIK3R1	Loss-of-function	Somatic	SNV/indel	PAM
PIK3R1	Loss-of-function	Somatic	SNV/indel	PAM
FGFR2	Gain-of-function	Somatic	Gain	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
MDM2	Gain-of-function	Somatic	Gain	CC
MDM2	Gain-of-function	Somatic	Overexpression	CC
GNA11	Gain-of-function	Somatic	SNV/indel	RME
HRD	Composite biomarker	Somatic	Positive	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
GNA11	Gain-of-function	Somatic	SNV/indel	RME
KIT	Gain-of-function	Somatic	Overexpression	TK
PDGFB	Gain-of-function	Somatic	Overexpression	TK
MYC	Gain-of-function	Somatic	Gain	CC
PRAME	Gain-of-function	Somatic	Overexpression	IE
CDK4	Gain-of-function	Somatic	Gain	CC
CDK4	Gain-of-function	Somatic	Overexpression	CC
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Gain	TK
GLI1	Gain-of-function	Somatic	Overexpression	DEV
GLI2	Gain-of-function	Somatic	Overexpression	DEV
GLI3	Gain-of-function	Somatic	Overexpression	DEV
SMO	Gain-of-function	Somatic	Overexpression	DEV
ATR	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
PARP3	Gain-of-function	Somatic	Overexpression	DDR
ATR	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
PARP3	Gain-of-function	Somatic	Overexpression	DDR
FGF1	Gain-of-function	Somatic	Overexpression	TK
FGF2	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
PDGFRB	Gain-of-function	Somatic	Overexpression	TK
NF1	Loss-of-function	Somatic	Deletion	RME
NF1	Loss-of-function	Somatic	SNV/indel	RME
HGF	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
GNA11	Gain-of-function	Somatic	SNV/indel	RME
GNA11	Gain-of-function	Somatic	SNV/indel	RME
MAPK1	Gain-of-function	Somatic	Overexpression	RME
MET	Gain-of-function	Somatic	Overexpression	TK
MET	Gain-of-function	Somatic	Gain	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
TSC2	Loss-of-function	Somatic	SNV/indel	PAM
AR	Gain-of-function	Somatic	Overexpression	DEV
KDR	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
LAG3	Gain-of-function	Somatic	Overexpression	IE
PDCD1	Gain-of-function	Somatic	Overexpression	IE
BRCA1	Loss-of-function	Somatic	Underexpression	DDR
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
FANCE	Loss-of-function	Somatic	Underexpression	DDR
FANCE	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Deletion	DDR
RAD51	Loss-of-function	Somatic	Underexpression	DDR
CTLA4	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	Somatic	Positive	IE
HGF	Gain-of-function	Somatic	Overexpression	TK
HGF	Gain-of-function	Somatic	Gain	TK
MET	Gain-of-function	Somatic	Gain	TK
TMB	Composite biomarker	Somatic	Positive	IE
ATM	Loss-of-function	Somatic	SNV/indel	DDR
AKT2	Gain-of-function	Somatic	Overexpression	PAM
MTOR	Gain-of-function	Somatic	Overexpression	PAM
TSC2	Loss-of-function	Somatic	Overexpression	PAM
VEGFB	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
NRG2	Gain-of-function	Somatic	Overexpression	TK
NRG3	Gain-of-function	Somatic	Overexpression	TK
MEN1	Loss-of-function	Germline	NA	OTH
TMB	Composite biomarker	Somatic	Positive	IE
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
RAF1	Gain-of-function	Somatic	SNV/indel	RME
NA	NA	NA	NA	NA
CD274	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	Somatic	Positive	IE
ROS1	Gain-of-function	Somatic	SNV/indel	TK
FANCA	Loss-of-function	Germline	NA	DDR
GOLGB1	Gain-of-function	Somatic	Fusion	NA
MET	Gain-of-function	Somatic	Fusion	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
SBS8	Composite biomarker	NA	Mutational signature	DDR
SMARCA4	Loss-of-function	Somatic	SNV/indel	DEV
CLDN18	Gain-of-function	Somatic	Overexpression	IE
PIK3R5	Gain-of-function	Somatic	SNV/indel	PAM
RPTOR	Gain-of-function	Somatic	Overexpression	PAM
RPTOR	Gain-of-function	Somatic	Gain	PAM
ARHGAP26	Gain-of-function	Somatic	Fusion	RME
ARHGAP26	Gain-of-function	Somatic	Overexpression	RME
CLDN18	Gain-of-function	Somatic	Overexpression	IE
CLDN18	Gain-of-function	Somatic	Fusion	IE
MST1R	Gain-of-function	Somatic	Overexpression	TK
NRG1	Gain-of-function	Somatic	Overexpression	TK
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
PDCD1LG2	Gain-of-function	Somatic	Overexpression	IE
RHEB	Gain-of-function	Somatic	Overexpression	PAM
TSC1	Loss-of-function	Somatic	Underexpression	PAM
TSC2	Loss-of-function	Somatic	SNV/indel	PAM
TSC2	Loss-of-function	Somatic	Underexpression	PAM
SDHD	Loss-of-function	Germline	NA	OTH
HRD	Composite biomarker	Somatic	Positive	DDR
NBN	Loss-of-function	Somatic	SNV/indel	DDR
PARP2	Gain-of-function	Somatic	Overexpression	DDR
PARP3	Gain-of-function	Somatic	Deletion	DDR
PARP3	Gain-of-function	Somatic	Overexpression	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
ESR1	Gain-of-function	Somatic	Overexpression	DEV
BRD4	Gain-of-function	Somatic	Gain	OTH
BRD4	Gain-of-function	Somatic	Overexpression	OTH
NF1	Loss-of-function	Somatic	Deletion	RME
NF1	Loss-of-function	Somatic	Overexpression	RME
PTEN	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
CD274	Gain-of-function	Somatic	Overexpression	IE
ATR	Loss-of-function	Somatic	SNV/indel	DDR
PALB2	Loss-of-function	Somatic	Deletion	DDR
PALB2	Loss-of-function	Somatic	Deletion	DDR
PTEN	Loss-of-function	Somatic	SNV/indel	PAM
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	Deletion	RME
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
CDKN2A	Loss-of-function	Somatic	Deletion	CC
TMB	Composite biomarker	Somatic	Positive	IE
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
NTRK3	Gain-of-function	Somatic	Gain	TK
EGFR	Gain-of-function	Somatic	Gain	TK
MYC	Gain-of-function	Somatic	Gain	CC
MYC	Gain-of-function	Somatic	Gain	CC
ROR1	Gain-of-function	Somatic	SNV/indel	TK
CTNNB1	Gain-of-function	Somatic	SNV/indel	DEV
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
NRAS	Gain-of-function	Somatic	SNV/indel	RME
TMB	Composite biomarker	Somatic	Positive	IE
NRAS	Gain-of-function	Somatic	SNV/indel	RME
FGFR2	Gain-of-function	Somatic	Fusion	TK
ATR	Loss-of-function	Somatic	Deletion	DDR
CHEK1	Loss-of-function	Somatic	Deletion	DDR
FANCA	Loss-of-function	Somatic	Deletion	DDR
FANCC	Loss-of-function	Somatic	Deletion	DDR
FANCD2	Loss-of-function	Somatic	Deletion	DDR
RAD51B	Loss-of-function	Somatic	Deletion	DDR
NA	NA	NA	NA	NA
MERTK	Gain-of-function	Somatic	Overexpression	TK
CSF1R	Gain-of-function	Somatic	Overexpression	TK
FLT3	Gain-of-function	Somatic	Overexpression	TK
GNAQ	Gain-of-function	Somatic	SNV/indel	RME
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB2	Gain-of-function	Somatic	Gain	TK
ERBB3	Gain-of-function	Somatic	Overexpression	TK
ERBB3	Gain-of-function	Somatic	Gain	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
IDH1	Gain-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
MSH2	Loss-of-function	Somatic	SNV/indel	DDR
MSH3	Loss-of-function	Somatic	SNV/indel	NA
MSH6	Loss-of-function	Somatic	SNV/indel	DDR
TMB	Composite biomarker	Somatic	Positive	IE
SMARCA4	Loss-of-function	Somatic	SNV/indel	DEV
CLDN18	Gain-of-function	Somatic	Overexpression	IE
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
FGFR3	Gain-of-function	Somatic	Gain	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
PIK3CA	Gain-of-function	Somatic	SNV/indel	PAM
ERCC3	Loss-of-function	Somatic	Underexpression	DDR
FANCB	Loss-of-function	Somatic	Deletion	DDR
FANCB	Loss-of-function	Somatic	Underexpression	DDR
MRE11	Loss-of-function	Germline	SNV/indel	DDR
CCND1	Gain-of-function	Somatic	Overexpression	CC
CCND1	Gain-of-function	Somatic	Gain	CC
CDK6	Gain-of-function	Somatic	Gain	CC
CDK6	Gain-of-function	Somatic	Overexpression	CC
BRCA1	Loss-of-function	Somatic	Underexpression	DDR
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
KIT	Gain-of-function	Somatic	Gain	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
MERTK	Gain-of-function	Somatic	Overexpression	TK
PTPRJ	Loss-of-function	Somatic	Underexpression	TK
NA	NA	NA	NA	NA
SS18	Loss-of-function	Somatic	Fusion	OTH
SSX2	Loss-of-function	Somatic	Fusion	OTH
MDM2	Gain-of-function	Somatic	Overexpression	CC
MDM2	Gain-of-function	Somatic	Gain	CC
NF1	Loss-of-function	Somatic	SNV/indel	RME
CTAG1B	Gain-of-function	Somatic	Overexpression	IE
BRCA2	Loss-of-function	Germline	SNV/indel	DDR
NRG3	Gain-of-function	Somatic	SNV/indel	TK
NA	NA	NA	NA	NA
BRCA2	Loss-of-function	Germline	NA	DDR
ALK	Gain-of-function	Somatic	Overexpression	TK
CREB1	Gain-of-function	Somatic	Fusion	NA
EWSR1	Gain-of-function	Somatic	Fusion	OTH
RHEB1	Gain-of-function	Somatic	Overexpression	NA
TSC1	Loss-of-function	Somatic	Underexpression	PAM
TSC2	Loss-of-function	Somatic	Underexpression	PAM
ATRX	Loss-of-function	Somatic	Underexpression	OTH
MRE11	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
MET	Gain-of-function	Somatic	Overexpression	TK
PRCC	Gain-of-function	Somatic	Fusion	NA
TFE3	Gain-of-function	Somatic	Fusion	OTH
SETD2	Loss-of-function	Somatic	SNV/indel	OTH
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
BRCA2	Loss-of-function	Somatic	SNV/indel	DDR
PTEN	Loss-of-function	Somatic	Deletion	PAM
PTEN	Loss-of-function	Somatic	Underexpression	PAM
TMB	Composite biomarker	Somatic	Positive	IE
NOTCH1	Gain-of-function	Somatic	SNV/indel	DEV
FGFR1	Gain-of-function	Somatic	Overexpression	TK
PDGFA	Gain-of-function	Somatic	Overexpression	TK
PDGFRA	Gain-of-function	Somatic	Overexpression	TK
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Underexpression	CC
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
ERCC5	Loss-of-function	Somatic	Deletion	DDR
ERCC6	Loss-of-function	Somatic	Deletion	DDR
FANCF	Loss-of-function	Somatic	Deletion	DDR
HRD	Composite biomarker	Somatic	Positive	DDR
MRE11	Loss-of-function	Somatic	Deletion	DDR
ATM	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Underexpression	DDR
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
ROS1	Gain-of-function	Somatic	Overexpression	TK
TSHR	Gain-of-function	Somatic	Overexpression	OTH
KRAS	Gain-of-function	Somatic	SNV/indel	RME
ERBB2	Gain-of-function	Somatic	Overexpression	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
NTRK3	Gain-of-function	Somatic	Overexpression	TK
RET	Gain-of-function	Somatic	Overexpression	TK
KRAS	Gain-of-function	Somatic	SNV/indel	RME
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
ATM	Loss-of-function	Somatic	Deletion	DDR
SBS3	Composite biomarker	NA	Mutational signature	DDR
SBS8	Composite biomarker	NA	Mutational signature	DDR
KRAS	Gain-of-function	Somatic	SNV/indel	RME
KRAS	Gain-of-function	Somatic	SNV/indel	RME
ARID1A	Loss-of-function	Somatic	Fusion	OTH
PIGV	Loss-of-function	Somatic	Fusion	NA
ARID1A	Loss-of-function	Somatic	Fusion	OTH
PIGV	Loss-of-function	Somatic	Fusion	NA
NA	NA	NA	NA	NA
TMB	Composite biomarker	Somatic	Positive	IE
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	SNV/indel	TK
PBRM1	Loss-of-function	Somatic	SNV/indel	OTH
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
SMARCA4	Loss-of-function	Somatic	SNV/indel	DEV
CCND1	Gain-of-function	Somatic	Overexpression	CC
CCND1	Gain-of-function	Somatic	Gain	CC
FGF3	Gain-of-function	Somatic	Gain	TK
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Gain	TK
FGF3	Gain-of-function	Somatic	Overexpression	TK
FGF4	Gain-of-function	Somatic	Overexpression	TK
PTEN	Loss-of-function	Somatic	Deletion	PAM
SRC	Gain-of-function	Somatic	Gain	TK
STK11	Loss-of-function	Somatic	Deletion	PAM
WNK2	Loss-of-function	Somatic	Deletion	RME
CCND1	Gain-of-function	Somatic	SNV/indel	CC
CDK6	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	SNV/indel	CC
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
ALK	Gain-of-function	Somatic	Overexpression	TK
FOXO1	Gain-of-function	Somatic	Fusion	DEV
MYCN	Gain-of-function	Somatic	Overexpression	OTH
PAX3	Gain-of-function	Somatic	Fusion	DEV
WRN	Loss-of-function	Germline	NA	DDR
EWSR1	Gain-of-function	Somatic	Fusion	OTH
FLI1	Gain-of-function	Somatic	Fusion	OTH
CDK6	Gain-of-function	Somatic	Gain	CC
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
CD274	Gain-of-function	Somatic	Gain	IE
PDCD1LG2	Gain-of-function	Somatic	Gain	IE
JAK2	Gain-of-function	Somatic	Gain	TK
JAK3	Gain-of-function	Somatic	Gain	TK
BRCA2	Loss-of-function	Somatic	Deletion	DDR
BRCA2	Loss-of-function	Somatic	Deletion	DDR
MAP2K2	Gain-of-function	Somatic	Overexpression	RME
NTRK2	Gain-of-function	Somatic	Fusion	TK
NTRK3	Gain-of-function	Somatic	SNV/indel	TK
ZDHHC14	Gain-of-function	Somatic	Fusion	NA
Aneuploidy	Composite biomarker	NA	ANEU	NA
HRD	Composite biomarker	NA	Positive	DDR
SBS8	Composite biomarker	NA	Mutational signature	DDR
Aneuploidy	Composite biomarker	NA	ANEU	NA
HRD	Composite biomarker	NA	Positive	DDR
SBS8	Composite biomarker	NA	Mutational signature	DDR
Aneuploidy	Composite biomarker	NA	ANEU	NA
HRD	Composite biomarker	NA	Positive	DDR
SBS8	Composite biomarker	NA	Mutational signature	DDR
KIT	Gain-of-function	Somatic	SNV/indel	TK
KIT	Gain-of-function	Somatic	SNV/indel	TK
NA	NA	NA	NA	NA
AKT2	Gain-of-function	Somatic	Overexpression	PAM
AKT2	Gain-of-function	Somatic	Gain	PAM
ARID2	Loss-of-function	Somatic	SNV/indel	NA
ERBB3	Gain-of-function	Somatic	Overexpression	TK
ERBB4	Gain-of-function	Somatic	Overexpression	TK
SRC	Gain-of-function	Somatic	Overexpression	TK
CLDN18	Gain-of-function	Somatic	Overexpression	IE
CD274	Gain-of-function	Somatic	Overexpression	IE
CTLA4	Gain-of-function	Somatic	Overexpression	IE
TMB	Composite biomarker	NA	Positive	IE
FLT4	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Overexpression	TK
KDR	Gain-of-function	Somatic	Gain	TK
KIT	Gain-of-function	Somatic	Overexpression	TK
KIT	Gain-of-function	Somatic	Gain	TK
BRAF	Gain-of-function	Somatic	Gain	RME
BRAF	Gain-of-function	Somatic	Overexpression	RME
CRKL	Gain-of-function	Somatic	Gain	RME
CRKL	Gain-of-function	Somatic	Overexpression	RME
MAPK1	Gain-of-function	Somatic	Gain	RME
MAPK1	Gain-of-function	Somatic	Overexpression	RME
MAPK3	Gain-of-function	Somatic	Overexpression	RME
MTOR	Gain-of-function	Somatic	Overexpression	PAM
MTOR	Gain-of-function	Somatic	Gain	PAM
BRAF	Gain-of-function	Somatic	Gain	RME
BRAF	Gain-of-function	Somatic	Overexpression	RME
CRKL	Gain-of-function	Somatic	Gain	RME
CRKL	Gain-of-function	Somatic	Overexpression	RME
MAPK1	Gain-of-function	Somatic	Gain	RME
MAPK1	Gain-of-function	Somatic	Overexpression	RME
MAPK3	Gain-of-function	Somatic	Overexpression	RME
MTOR	Gain-of-function	Somatic	Gain	PAM
MTOR	Gain-of-function	Somatic	Overexpression	PAM
FBXW7	Loss-of-function	Somatic	SNV/indel	PAM
PIK3CA	Gain-of-function	Somatic	Gain	PAM
RICTOR	Gain-of-function	Somatic	SNV/indel	PAM
ATRX	Loss-of-function	Somatic	SNV/indel	OTH
SBS3	Composite biomarker	Somatic	Mutational signature	DDR
CDKN2A	Loss-of-function	Somatic	Deletion	CC
CDKN2B	Loss-of-function	Somatic	Deletion	CC
NA	NA	NA	NA	NA
FGFR2	Gain-of-function	Somatic	Fusion	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
FGFR4	Gain-of-function	Somatic	Overexpression	TK
NOL4	Gain-of-function	Somatic	Fusion	NA
NOL4	Gain-of-function	Somatic	Overexpression	NA
MYC	Gain-of-function	Somatic	Gain	CC
ERBB3	Gain-of-function	Somatic	Overexpression	TK
NA	NA	NA	NA	NA
FGF4	Gain-of-function	Somatic	Overexpression	TK
FGFR1	Gain-of-function	Somatic	Overexpression	TK
FGFR2	Gain-of-function	Somatic	Overexpression	TK
FGFR3	Gain-of-function	Somatic	Overexpression	TK
JARID2	Gain-of-function	Somatic	SNV/indel	NA
JARID2	Gain-of-function	Somatic	Overexpression	NA
RHEB	Gain-of-function	Somatic	SNV/indel	PAM
CDKN2A	Loss-of-function	Somatic	Underexpression	CC
JARID2	Gain-of-function	Somatic	Overexpression	NA
JARID2	Gain-of-function	Somatic	SNV/indel	NA
RB1	Loss-of-function	Somatic	Underexpression	CC
ATR	Loss-of-function	Somatic	Deletion	DDR
ATR	Loss-of-function	Somatic	Underexpression	DDR
ATRX	Loss-of-function	Somatic	Fusion	OTH
HRD	Composite biomarker	Somatic	Positive	DDR
MAGT1	Loss-of-function	Somatic	Fusion	NA
PARP2	Gain-of-function	Somatic	Overexpression	DDR
RAD51AP1	Loss-of-function	Somatic	Deletion	DDR
RAD51AP1	Loss-of-function	Somatic	Overexpression	DDR
SBS8	Composite biomarker	Somatic	Mutational signature	DDR
CD274	Gain-of-function	Somatic	Overexpression	IE
